date,asset_id,product_id,subtype,market,low,mid,high,direct_low
2025-01-01,base1-15,42355,Holofoil,122.15,79.99,128.26,300.0,
2025-01-01,base1-16,42356,Holofoil,38.11,21.84,32.9,64.99,
2025-01-01,base1-2,42360,Holofoil,158.69,89.35,130.0,249.99,
2025-01-01,base1-4,42382,Holofoil,435.11,272.13,384.99,1249.99,
2025-01-01,base1-58,42402,Normal,2.65,0.32,2.0,89.0,0.5
2025-01-01,cel25c-4,250320,Holofoil,97.6,82.5,104.88,249.0,119.49
2025-01-01,gym2-2,83861,1st Edition Holofoil,989.43,519.99,519.99,519.99,
2025-01-01,gym2-2,83861,Unlimited Holofoil,293.73,308.42,356.12,499.99,
2025-01-01,neo1-9,86903,1st Edition Holofoil,780.96,793.65,2950.0,2953.99,
2025-01-01,neo1-9,86903,Unlimited Holofoil,349.06,295.0,329.71,1000.0,
2025-01-01,sl-151-bundle,502000,Normal,61.63,54.99,63.74,194.94,
2025-01-01,sl-151-etb,503313,Normal,142.55,139.98,150.0,1999.99,
2025-01-01,sl-151-upc,502005,Normal,249.56,243.85,275.0,624.94,
2025-01-01,sl-ar-box,265519,Normal,191.85,198.43,242.94,1999.99,
2025-01-01,sl-base-box,185731,Normal,,17000.0,17000.0,17000.0,
2025-01-01,sl-bs-box,256141,Normal,223.63,230.0,280.0,599.99,
2025-01-01,sl-cel-upc,245140,Normal,391.02,384.9,459.98,1000.0,
2025-01-01,sl-champ-etb,218791,Normal,104.93,99.99,120.0,399.99,
2025-01-01,sl-cz-etb,453470,Normal,72.13,60.0,79.95,999.99,
2025-01-01,sl-evs-box,242436,Normal,979.06,999.99,1499.99,9999.99,
2025-01-01,sl-evs-etb,243721,Normal,396.78,399.95,499.99,989.99,
2025-01-01,sl-fs-box,247654,Normal,404.39,449.95,500.0,1299.99,
2025-01-01,sl-hf-etb,194729,Normal,214.93,215.01,250.0,499.99,
2025-01-01,sl-lo-box,277324,Normal,297.15,299.99,349.98,1299.99,
2025-01-01,sl-neo-box,193334,Normal,,39999.99,39999.99,39999.99,
2025-01-01,sl-obf-box,501257,Normal,139.75,130.0,169.97,999.99,
2025-01-01,sl-pe-etb,593355,Normal,128.07,127.99,128.98,159.99,
2025-01-01,sl-pf-etb,528040,Normal,73.0,64.95,80.0,149.99,
2025-01-01,sl-shf-etb,228821,Normal,56.81,47.99,60.0,300.0,
2025-01-01,sl-ss-box,565606,Normal,229.7,224.98,250.0,600.0,
2025-01-01,sl-st-box,283389,Normal,197.78,199.99,230.0,1199.99,
2025-01-01,sl-tf-box,536225,Normal,136.77,129.99,155.5,300.0,
2025-01-01,sv2-185,497557,Normal,0.23,0.01,0.27,11.5,
2025-01-01,sv2-185,497557,Reverse Holofoil,1.12,0.1,0.98,10.0,2.24
2025-01-01,sv2-254,497669,Holofoil,14.4,11.99,15.0,100.0,17.98
2025-01-01,sv2-269,497689,Holofoil,56.55,51.0,70.04,259.99,
2025-01-01,sv3pt5-151,516566,Holofoil,7.97,4.94,7.92,24.99,9.48
2025-01-01,sv3pt5-199,517045,Holofoil,205.65,191.61,226.06,1000.0,
2025-01-01,sv3pt5-205,517051,Holofoil,12.96,9.72,12.78,29.99,21.68
2025-01-01,sv3pt5-4,502555,Normal,0.12,0.01,0.15,25.0,
2025-01-01,sv3pt5-4,502555,Reverse Holofoil,0.25,0.09,0.26,25.0,
2025-01-01,sv3pt5-6,502558,Holofoil,5.66,3.89,5.63,26.0,7.06
2025-01-01,sv3pt5-7,502548,Normal,0.12,0.02,0.15,4.99,
2025-01-01,sv3pt5-7,502548,Reverse Holofoil,0.2,0.08,0.25,15.0,
2025-01-01,sv4pt5-234,535090,Holofoil,160.72,154.75,170.0,300.0,
2025-01-01,sv4pt5-54,534416,Holofoil,2.18,1.05,2.5,35.0,
2025-01-01,sv8-57,590025,Holofoil,7.48,6.16,8.25,24.99,
2025-01-01,svp-085,518861,Normal,245.78,239.99,300.0,399.98,339.99
2025-01-01,swsh11-186,284137,Holofoil,532.73,434.5,569.59,665.5,568.0
2025-01-01,swsh12-186,451834,Holofoil,231.49,224.99,274.5,499.99,274.0
2025-01-01,swsh12pt5gg-GG69,478100,Holofoil,192.53,175.5,204.95,299.99,
2025-01-01,swsh35-25,223018,Normal,0.08,0.02,0.15,1.49,
