asset_id,type,category,set_query,match_kind,match_value,display_name
base1-4,single,pokemon,Base Set,number,4/102,Charizard (Base Set)
base1-2,single,pokemon,Base Set,number,2/102,Blastoise (Base Set)
base1-15,single,pokemon,Base Set,number,15/102,Venusaur (Base Set)
base1-16,single,pokemon,Base Set,number,16/102,Zapdos (Base Set)
base1-58,single,pokemon,Base Set,number,58/102,Pikachu (Base Set)
neo1-9,single,pokemon,Neo Genesis,number,9/111,Lugia (Neo Genesis)
gym2-2,single,pokemon,Gym Challenge,number,2/132,Blaine's Charizard
swsh7-215,single,pokemon,Evolving Skies,number,215/203,Umbreon VMAX Alt Art
swsh7-212,single,pokemon,Evolving Skies,number,212/203,Sylveon VMAX Alt Art
swsh7-205,single,pokemon,Evolving Skies,number,205/203,Leafeon VMAX Alt Art
swsh7-209,single,pokemon,Evolving Skies,number,209/203,Glaceon VMAX Alt Art
swsh7-218,single,pokemon,Evolving Skies,number,218/203,Rayquaza VMAX Alt Art
swsh7-211,single,pokemon,Evolving Skies,number,211/203,Sylveon VMAX Rainbow
swsh7-204,single,pokemon,Evolving Skies,number,204/203,Leafeon VMAX Rainbow
swsh7-208,single,pokemon,Evolving Skies,number,208/203,Glaceon VMAX Rainbow
swsh7-75,single,pokemon,Evolving Skies,number,75/203,Sylveon VMAX
swsh7-65,single,pokemon,Evolving Skies,number,65/203,Espeon VMAX
swsh7-41,single,pokemon,Evolving Skies,number,41/203,Glaceon VMAX
swsh7-8,single,pokemon,Evolving Skies,number,8/203,Leafeon VMAX
swsh12pt5gg-GG69,single,pokemon,Galarian Gallery,number,GG69/GG70,Giratina VSTAR Gold
swsh35-74,single,pokemon,Champion's Path,number,74/73,Charizard VMAX (Champion's Path)
swsh35-25,single,pokemon,Champion's Path,number,25/73,Machoke (Champion's Path)
swsh45sv-SV107,single,pokemon,Shiny Vault,number,SV107/SV122,Charizard VMAX Shiny
cel25c-4,single,pokemon,Classic Collection,number,4/102,Charizard Classic Collection
sv3pt5-199,single,pokemon,151,number,199/165,Charizard ex SIR (151)
sv3pt5-205,single,pokemon,151,number,205/165,Mew ex Gold (151)
sv3pt5-6,single,pokemon,151,number,6/165,Charizard ex (151)
sv3pt5-151,single,pokemon,151,number,151/165,Mew ex (151)
sv3pt5-4,single,pokemon,151,number,4/165,Charmander (151)
sv3pt5-7,single,pokemon,151,number,7/165,Squirtle (151)
sv4pt5-234,single,pokemon,Paldean Fates,number,234/091,Charizard ex Shiny SIR
sv4pt5-54,single,pokemon,Paldean Fates,number,54/091,Charizard ex (Paldean Fates)
sv8pt5-161,single,pokemon,Prismatic Evolutions,number,161/131,Umbreon ex SIR
sv8pt5-179,single,pokemon,Prismatic Evolutions,number,179/131,Pikachu ex Gold
sv8pt5-167,single,pokemon,Prismatic Evolutions,number,167/131,Eevee ex SIR
sv8pt5-156,single,pokemon,Prismatic Evolutions,number,156/131,Sylveon ex SIR
sv8pt5-149,single,pokemon,Prismatic Evolutions,number,149/131,Vaporeon ex SIR
sv8pt5-155,single,pokemon,Prismatic Evolutions,number,155/131,Espeon ex SIR
sv8pt5-60,single,pokemon,Prismatic Evolutions,number,60/131,Umbreon ex
sv8pt5-59,single,pokemon,Prismatic Evolutions,number,59/131,Umbreon (Prismatic)
sv8pt5-28,single,pokemon,Prismatic Evolutions,number,28/131,Pikachu ex
